Path,Number of Topics,Coherence (Gensim)
canadian_tweets/2020-01-21_2020-02-03/,30,0.48165
canadian_tweets/2020-02-04_2020-02-17/,40,0.54204
canadian_tweets/2020-02-18_2020-03-03/,15,0.50949
canadian_tweets/2020-03-04_2020-03-17/,20,0.60944
canadian_tweets/2020-03-18_2020-03-31/,10,0.49097
canadian_tweets/2020-04-01_2020-04-14/,20,0.5172
canadian_tweets/2020-04-15_2020-04-28/,20,0.46569
canadian_tweets/2020-04-29_2020-05-12/,20,0.49084
canadian_tweets/2020-05-13_2020-05-26/,5,0.47675
canadian_tweets/2020-05-27_2020-06-09/,15,0.4985
canadian_tweets/2020-06-10_2020-06-23/,5,0.53138
canadian_tweets/2020-06-24_2020-07-07/,10,0.54948
canadian_tweets/2020-07-08_2020-07-21/,15,0.49302
canadian_tweets/2020-07-22_2020-08-04/,10,0.5177
canadian_tweets/2020-08-05_2020-08-18/,25,0.56848
canadian_tweets/2020-08-19_2020-09-01/,5,0.55926
canadian_tweets/2020-09-02_2020-09-15/,10,0.54614
canadian_tweets/2020-09-16_2020-09-29/,15,0.54167
canadian_tweets/2020-09-30_2020-10-13/,20,0.52593
canadian_tweets/2020-10-14_2020-10-27/,10,0.53775
canadian_tweets/2020-10-28_2020-10-31/,10,0.58718
test/tmp,15,0.75577
